排名,车型,销量,厂商,售价（万元）
248,朋克美美,248,御捷新能源,2.98 - 4.68
249,上汽大通MAXUS G50,249,上汽大通,8.68 - 16.58
250,宝马X2,250,华晨宝马,28.58 - 32.38
251,奔腾B70,251,一汽奔腾,10.59 - 14.49
252,马自达CX-5,252,长安马自达,17.58 - 24.58
253,摩卡DHT-PHEV,253,长城汽车,29.50 - 31.50
254,优优EV,254,开瑞汽车,12.68 - 12.68
255,帕萨特新能源,255,上汽大众,22.99 - 23.89
256,沃尔沃XC40,256,沃尔沃亚太,26.48 - 35.48
257,锐程CC,257,长安汽车,9.79 - 11.29
258,长安UNI-K,258,长安汽车,14.59 - 18.49
259,凯迪拉克CT5,259,通用凯迪拉克,27.97 - 34.17
260,悦虎,260,大运汽车,6.80 - 8.78
261,奥迪A4L,261,一汽-大众奥迪,30.58 - 39.68
262,奔腾B70S,262,一汽奔腾,10.99 - 14.29
263,长安欧尚科尚,263,长安汽车,9.98 - 14.28
264,昂科拉,264,上汽通用别克,12.59 - 15.59
265,领克09,265,领克,26.59 - 32.09
266,Model 3,266,特斯拉中国,26.67 - 33.99
267,宝马iX3,267,华晨宝马,39.99 - 43.99
268,威马W6,268,威马汽车,16.98 - 23.98
269,ID.4 X,269,上汽大众,19.99 - 27.83
270,本田UR-V,270,东风本田,24.68 - 32.98
271,欧诺S,271,长安凯程,4.54 - 4.84
272,探岳GTE插电混动,272,一汽-大众,24.29 - 25.29
273,发现运动版,273,奇瑞捷豹路虎,35.68 - 45.58
274,奥迪Q3 Sportback,274,一汽-大众奥迪,28.93 - 36.18
275,探险者,275,长安福特,30.98 - 39.98
276,炫界,276,凯翼汽车,5.39 - 12.98
277,摩卡,277,长城汽车,19.28 - 22.88
278,VGV U70,278,中国重汽VGV,7.79 - 11.89
279,微蓝6,279,上汽通用别克,16.16 - 19.69
280,红旗E-QM5,280,一汽红旗,12.28 - 23.98
281,领裕,281,江铃福特,16.98 - 22.18
282,飞凡ER6,282,上汽集团,15.58 - 20.08
283,风光380,283,东风小康,5.38 - 6.08
284,福克斯,284,长安福特,10.88 - 15.38
285,揽胜极光,285,奇瑞捷豹路虎,38.98 - 47.58
286,哈弗F7,286,长城汽车,11.18 - 15.18
287,炫界Pro EV,287,凯翼汽车,13.19 - 15.19
288,北京BJ80,288,北京越野,29.49 - 39.80
289,荣威i6 MAX新能源,289,上汽集团,13.68 - 18.88
290,奔驰E级新能源,290,北京奔驰,51.76 - 52.19
291,嘉际,291,吉利汽车,11.98 - 14.28
292,小虎FEV,292,小虎汽车,3.79 - 5.29
293,长安CS95,293,长安汽车,17.59 - 21.39
294,北京X7,294,BEIJING汽车,10.49 - 14.99
295,MG ONE,295,上汽名爵,9.98 - 12.98
296,易至EV3,296,江铃集团新能源,6.88 - 7.38
297,途达,297,郑州日产,16.98 - 24.83
298,SWM斯威X7,298,SWM斯威汽车,6.39 - 10.59
299,昕锐,299,上汽斯柯达,7.79 - 9.99
300,沃尔沃S90,300,沃尔沃亚太,40.69 - 50.59
301,风光ix5,301,东风小康,9.98 - 16.59
302,荣威iMAX8,302,上汽集团,18.88 - 25.38
303,领克01,303,领克,17.98 - 20.18
304,羿,304,江铃集团新能源,13.98 - 19.98
305,宝马X5,305,华晨宝马,60.50 - 77.50
306,启辰D60,306,东风启辰,6.98 - 14.08
307,智跑,307,东风悦达起亚,13.98 - 15.78
308,名爵HS新能源,308,上汽名爵,18.98 - 21.98
309,帝豪L,309,吉利汽车,9.39 - 10.99
310,华晨新日i03,310,华晨新日,5.98 - 8.98
311,起亚K3,311,东风悦达起亚,10.98 - 13.18
312,YOUNG光小新,312,电动屋,6.48 - 8.18
313,奥迪Q5L Sportback,313,一汽-大众奥迪,42.68 - 49.99
314,长安CS15,314,长安汽车,6.19 - 7.69
315,途胜,315,北京现代,16.18 - 22.58
316,捷豹XFL,316,奇瑞捷豹路虎,39.98 - 49.98
317,奇骏,317,东风日产,18.19 - 26.29
318,航海家,318,长安林肯,32.88 - 47.88
319,名爵6,319,上汽名爵,10.38 - 13.98
320,领界,320,江铃福特,10.98 - 16.48
321,途观L,321,上汽大众,21.58 - 28.18
322,威驰FS,322,一汽丰田,7.18 - 9.28
323,奔腾T77,323,一汽奔腾,10.58 - 14.18
324,斯派卡,324,野马汽车,4.99 - 7.99
325,YARiS L 致享,325,广汽丰田,8.78 - 9.38
326,劲客,326,东风日产,11.98 - 13.78
327,捷豹XEL,327,奇瑞捷豹路虎,29.98 - 38.08
328,Aion LX,328,广汽埃安,28.66 - 46.96
329,红旗HS7,329,一汽红旗,27.58 - 46.33
330,威然,330,上汽大众,28.68 - 39.98
331,极狐 阿尔法S(ARCFOX αS),331,北汽新能源,25.19 - 42.99
332,捷达VS7,332,一汽-大众捷达,10.49 - 14.58
333,威兰达新能源,333,广汽丰田,25.88 - 29.98
334,上汽大通MAXUS D60,334,上汽大通,11.58 - 14.88
335,威马EX5,335,威马汽车,16.08 - 18.98
336,风光330,336,东风小康,4.49 - 6.88
337,金海狮,337,华晨鑫源,6.09 - 7.29
338,上汽大通MAXUS G10,338,上汽大通,14.58 - 19.08
339,ARCFOX αT,339,北汽新能源,24.19 - 31.99
340,马自达CX-30,340,长安马自达,12.99 - 19.99
341,奔驰EQC,341,北京奔驰,49.19 - 57.98
342,思皓E50A,342,江汽集团,14.09 - 16.19
343,ID.6 X,343,上汽大众,23.99 - 33.59
344,领克05新能源,344,领克,22.77 - 22.77
345,标致508,345,东风标致,15.97 - 22.47
346,风光E3,346,东风小康,12.98 - 15.98
347,EVOS,347,长安福特,19.98 - 25.98
348,大众ID.3,348,上汽大众,15.99 - 17.93
349,楼兰,349,东风日产,23.88 - 28.38
350,远志M1,350,大运汽车,15.38 - 30.88
351,本田XR-V,351,东风本田,12.79 - 17.59
352,红旗E-HS9,352,一汽红旗,50.98 - 77.98
353,飞行家,353,长安林肯,50.98 - 76.38
354,标致5008,354,东风标致,18.77 - 26.37
355,君威,355,上汽通用别克,19.68 - 24.98
356,荣威i6,356,上汽集团,8.98 - 11.28
357,柯米克GT,357,上汽斯柯达,0.00 - 0.00
358,东风本田M-NV,358,东风本田,14.98 - 15.98
359,雪铁龙C6,359,东风雪铁龙,16.47 - 27.59
360,奔腾T55,360,一汽奔腾,8.59 - 10.49
361,传祺GA6,361,广汽乘用车,10.88 - 16.88
362,悦纳,362,北京现代,7.28 - 9.68
363,柯迪亚克,363,上汽斯柯达,17.79 - 24.79
364,凌放HARRIER,364,一汽丰田,21.18 - 29.78
365,新宝骏RC-5,365,上汽通用五菱,5.98 - 10.98
366,荣威RX3,366,上汽集团,7.58 - 9.68
367,全界Q1,367,云雀汽车,0.00 - 0.00
368,奔驰EQB,368,北京奔驰,35.18 - 43.78
369,SWM斯威X2,369,SWM斯威汽车,4.99 - 5.29
370,享域,370,东风本田,9.98 - 16.99
371,爱驰U5,371,爱驰汽车,16.69 - 24.99
372,SWM斯威X3,372,SWM斯威汽车,5.88 - 5.88
373,轩度,373,凯翼汽车,6.78 - 9.39
374,卡罗拉双擎E+,374,一汽丰田,20.78 - 23.08
375,玛奇朵DHT-PHEV,375,长城汽车,17.88 - 18.98
376,MARVEL R,376,上汽集团,21.98 - 25.98
377,K5凯酷,377,东风悦达起亚,16.18 - 20.58
378,明锐,378,上汽斯柯达,10.99 - 15.79
379,奔驰A级AMG,379,北京奔驰,39.51 - 39.51
380,阿图柯AIRTREK,380,广汽三菱,19.98 - 22.98
381,凯迪拉克XT5,381,通用凯迪拉克,33.27 - 45.27
382,嘉际新能源,382,吉利新能源,14.58 - 16.88
383,比亚迪e3,383,比亚迪,15.48 - 15.58
384,长安欧尚A600EV,384,长安汽车,14.98 - 14.98
385,奥迪Q2L e-tron,385,一汽-大众奥迪,24.38 - 24.38
386,沃尔沃XC40新能源,386,沃尔沃亚太,25.70 - 31.50
387,凯迪拉克CT6,387,通用凯迪拉克,39.97 - 48.97
388,雪铁龙C3-XR,388,东风雪铁龙,11.39 - 11.39
389,凯迪拉克XT4,389,通用凯迪拉克,26.17 - 35.47
390,上汽大通MAXUS D90 Pro,390,上汽大通,17.98 - 30.98
391,途观L新能源,391,上汽大众,25.78 - 26.88
392,奥迪A7L,392,上汽奥迪,44.97 - 77.77
393,奔驰EQA,393,北京奔驰,32.18 - 36.58
394,华晨新日i03A,394,华晨新日,8.58 - 12.50
395,途铠,395,上汽大众,11.49 - 15.99
396,速派,396,上汽斯柯达,15.49 - 22.99
397,红旗H7,397,一汽红旗,25.28 - 28.88
398,SWM斯威G01,398,SWM斯威汽车,7.99 - 26.98
399,上汽大通MAXUS EUNIQ 5,399,上汽大通,16.58 - 21.28
400,VGV U75PLUS,400,中国重汽VGV,13.79 - 15.19
401,嘉华,401,东风悦达起亚,28.89 - 33.99
402,柯珞克,402,上汽斯柯达,14.99 - 15.49
403,优优,403,开瑞汽车,3.99 - 6.24
404,发现运动版新能源,404,奇瑞捷豹路虎,42.28 - 42.28
405,劲炫ASX,405,广汽三菱,9.98 - 13.98
406,途安,406,上汽大众,15.18 - 19.48
407,撼路者,407,江铃福特,27.58 - 37.48
408,博瑞,408,吉利汽车,13.18 - 14.38
409,e爱丽舍,409,东风新能源,12.98 - 13.98
410,博瑞新能源,410,吉利新能源,15.58 - 20.98
411,广汽丰田iA5,411,广汽丰田新能源,15.98 - 19.28
412,DS 9,412,DS汽车,25.49 - 34.49
413,英菲尼迪QX60,413,东风英菲尼迪,0.00 - 0.00
414,逸动DT,414,长安汽车,5.79 - 7.39
415,途睿欧,415,江铃福特,18.69 - 27.58
416,本田e:NS1,416,东风本田,17.50 - 21.80
417,斯派卡新能源,417,野马汽车,14.99 - 16.99
418,鲸,418,上汽集团,0.00 - 0.00
419,启辰T60,419,东风启辰,8.68 - 11.28
420,英菲尼迪QX50,420,东风英菲尼迪,33.38 - 46.98
421,凯迪拉克XT6,421,通用凯迪拉克,39.27 - 55.27
422,索纳塔,422,北京现代,16.18 - 20.58
423,马自达CX-8,423,长安马自达,25.88 - 33.08
424,荣威RX5新能源,424,上汽集团,15.28 - 16.28
425,君越,425,上汽通用别克,21.98 - 28.98
426,畅巡,426,上汽通用雪佛兰,15.99 - 17.99
427,胜达,427,北京现代,20.28 - 27.28
428,北汽EC100,428,北汽昌河,7.18 - 7.58
429,北京BJ90,429,北京越野,99.80 - 128.80
430,新宝骏RS-5,430,上汽通用五菱,9.78 - 13.58
431,奕泽E进擎,431,一汽丰田,22.58 - 25.38
432,开瑞K60,432,开瑞汽车,5.99 - 6.69
433,奔腾NAT,433,一汽奔腾,14.58 - 16.48
434,皓影新能源,434,广汽本田,27.38 - 29.98
435,奕歌,435,广汽三菱,12.98 - 18.58
436,启辰星,436,东风启辰,12.66 - 14.96
437,名图,437,北京现代,13.38 - 16.88
438,揽胜极光新能源,438,奇瑞捷豹路虎,44.58 - 44.58
439,传祺GA4,439,广汽乘用车,7.58 - 14.08
440,奥迪A6L新能源,440,一汽-大众奥迪,50.80 - 50.80
441,五菱征程,441,上汽通用五菱,7.58 - 9.08
442,梦想家,442,岚图汽车,36.99 - 68.99
443,凯迪拉克CT4,443,通用凯迪拉克,23.97 - 25.97
444,吉利icon,444,吉利汽车,9.98 - 13.20
445,RAV4荣放双擎E+,445,一汽丰田,24.88 - 29.68
446,辉昂,446,上汽大众,34.00 - 44.60
447,沃尔沃S60新能源,447,沃尔沃亚太,39.99 - 46.19
448,景逸S50,448,东风风行,6.99 - 7.99
449,风光ix7,449,东风小康,12.59 - 21.59
450,广汽本田VE-1,450,广汽理念,15.98 - 18.48
451,奔腾T99,451,一汽奔腾,13.49 - 18.69
452,英菲尼迪Q50L,452,东风英菲尼迪,26.48 - 38.98
453,沃尔沃S90新能源,453,沃尔沃亚太,49.99 - 61.39
454,迈腾,454,一汽-大众,18.69 - 30.99
455,大蚂蚁,455,奇瑞新能源,15.66 - 17.99
456,标致508L新能源,456,东风标致,21.57 - 22.77
457,Polo,457,上汽大众,8.99 - 12.39
458,沃尔沃XC60新能源,458,沃尔沃亚太,52.79 - 60.39
459,荣威RX8,459,上汽集团,16.88 - 22.88
460,起亚KX5,460,东风悦达起亚,16.28 - 19.18
461,玛奇朵DHT,461,长城汽车,15.58 - 16.98
462,迈锐宝XL,462,上汽通用雪佛兰,16.49 - 21.99
463,名图新能源,463,北京现代,17.88 - 20.38
464,海马8S,464,海马汽车,7.99 - 13.69
465,传祺GA8,465,广汽乘用车,15.68 - 22.68
466,锐际新能源,466,长安福特,20.80 - 20.80
467,一汽-大众CC,467,一汽-大众,24.99 - 29.99
468,天逸 C5 AIRCROSS新能源,468,东风雪铁龙,23.47 - 26.47
469,国机智骏GX5,469,国机智骏,11.58 - 13.98
470,东南DX7,470,东南汽车,9.99 - 13.99
471,上汽大通MAXUS EUNIQ 6,471,上汽大通,15.98 - 20.28
472,绎乐,472,广汽本田新能源,16.78 - 18.98
473,标致4008新能源,473,东风标致,24.97 - 25.97
474,北京X3,474,BEIJING汽车,5.99 - 8.79
475,创界,475,上汽通用雪佛兰,13.99 - 17.99
476,合创007,476,广汽蔚来,25.98 - 27.98
477,奥迪e-tron,477,一汽-大众奥迪,54.68 - 64.88
478,讴歌CDX,478,广汽讴歌,22.98 - 34.98
479,揽境,479,一汽-大众,29.99 - 39.99
480,开拓者,480,上汽通用雪佛兰,22.99 - 33.39
481,国机智骏GC1,481,国机智骏,7.38 - 8.38
482,DS 9新能源,482,DS汽车,32.99 - 39.99
483,讴歌RDX,483,广汽讴歌,32.80 - 46.00
484,科沃兹,484,上汽通用雪佛兰,8.39 - 9.99
485,东南DX5,485,东南汽车,6.99 - 9.99
486,DS 7,486,DS汽车,22.99 - 31.99
487,名爵6新能源,487,上汽名爵,14.58 - 19.98
488,北京U7,488,BEIJING汽车,8.79 - 12.29
489,探界者,489,上汽通用雪佛兰,16.99 - 23.99
490,马自达CX-30 EV,490,长安马自达,15.98 - 20.18
491,宝骏730,491,上汽通用五菱,6.38 - 10.28
492,上汽大通MAXUS EUNIQ 7,492,上汽大通,29.98 - 39.98
493,金牛座,493,长安福特,22.89 - 28.89
494,微蓝7,494,上汽通用别克,19.78 - 21.78
495,探影,495,一汽-大众,11.59 - 16.09
496,迈腾GTE插电混动,496,一汽-大众,23.79 - 25.29
497,思皓E40X,497,江汽集团,13.00 - 15.59
498,雷凌双擎E+,498,广汽丰田,20.38 - 21.88
499,昂科旗,499,上汽通用别克,29.99 - 35.99
500,富康ES500,500,东风新能源,14.18 - 14.18
501,北京X5,501,BEIJING汽车,7.99 - 10.99
